Utility,Year,Month,Zip Code,Payment Agreement Customer Count
Avista,2025,4,99016,180
Avista,2025,4,99125,7
Avista,2025,5,99031,6
Avista,2025,3,99218,192
Avista,2025,5,99151,1
Avista,2025,12,99004,47
Avista,2025,7,99403,143
Avista,2025,5,99216,218
Avista,2025,2,99117,2
Avista,2025,6,99004,40
Avista,2025,8,99161,12
Avista,2025,1,99111,23
Avista,2025,3,99208,623
Avista,2025,12,99143,6
Avista,2025,3,99134,11
Avista,2025,2,99014,3
Avista,2025,5,99101,22
Avista,2025,4,99141,61
Avista,2025,2,99016,147
Avista,2025,7,99151,1
Avista,2025,8,99216,205
Avista,2025,8,99217,167
Avista,2025,8,99170,4
Avista,2025,6,99176,2
Avista,2025,7,99223,225
Avista,2025,1,99160,3
Avista,2025,11,98648,1
Avista,2025,11,99185,14
Avista,2025,6,99149,1
Avista,2025,5,99113,2
Avista,2025,2,99224,179
Avista,2025,10,99026,19
Avista,2025,10,99021,54
Avista,2025,4,99223,284
Avista,2025,2,99173,31
Avista,2025,12,99402,9
Avista,2025,4,99203,229
Avista,2025,1,99033,5
Avista,2025,10,99033,7
Avista,2025,1,99206,230
Avista,2025,4,99040,13
Avista,2025,1,99216,181
Avista,2025,5,98648,6
Avista,2025,2,99032,8
Avista,2025,7,99027,46
Avista,2025,1,99167,9
Avista,2025,1,99103,5
Avista,2025,5,99109,38
Avista,2025,8,99122,14
Avista,2025,8,99160,1
Avista,2025,5,99212,252
Avista,2025,3,99176,3
Avista,2025,4,99004,69
Avista,2025,4,99224,209
Avista,2025,7,99111,23
Avista,2025,7,99022,43
Avista,2025,11,99005,39
Avista,2025,7,99141,36
Avista,2025,6,99157,9
Avista,2025,1,99208,424
Avista,2025,2,99029,12
Avista,2025,6,99341,9
Avista,2025,3,99169,22
Avista,2025,3,99005,60
Avista,2025,11,99163,184
Avista,2025,6,99009,13
Avista,2025,8,99004,43
Avista,2025,4,99137,5
Avista,2025,3,99125,6
Avista,2025,12,99341,7
Avista,2025,6,99137,4
Avista,2025,6,99034,2
Avista,2025,9,99129,9
Avista,2025,9,99025,32
Avista,2025,3,98648,6
Avista,2025,7,99216,212
Avista,2025,8,99033,8
Avista,2025,6,99005,33
Avista,2025,7,99113,7
Avista,2025,9,99003,21
Avista,2025,5,99022,62
Avista,2025,5,99111,35
Avista,2025,8,99171,10
Avista,2025,12,99185,12
Avista,2025,6,99170,8
Avista,2025,10,99224,193
Avista,2025,6,99160,3
Avista,2025,2,99159,8
Avista,2025,9,99014,3
Avista,2025,4,99173,43
Avista,2025,9,99202,238
Avista,2025,3,99371,5
Avista,2025,9,99030,12
Avista,2025,1,99122,20
Avista,2025,5,99157,11
Avista,2025,7,99402,11
Avista,2025,12,99203,187
Avista,2025,1,99402,11
Avista,2025,1,99134,5
Avista,2025,8,99030,14
Avista,2025,4,99167,9
Avista,2025,4,99029,17
Avista,2025,3,99174,1
Avista,2025,6,99129,9
Avista,2025,8,99206,229
Avista,2025,6,99019,82
Avista,2025,6,99151,1
Avista,2025,12,98648,1
Avista,2025,9,99208,604
Avista,2025,7,99019,93
Avista,2025,8,99130,10
Avista,2025,1,99131,1
Avista,2025,4,99148,36
Avista,2025,8,99113,4
Avista,2025,3,99185,20
Avista,2025,9,99101,19
Avista,2025,4,99171,16
Avista,2025,12,99126,14
Avista,2025,5,99004,54
Avista,2025,1,99185,16
Avista,2025,11,99128,1
Avista,2025,12,99158,2
Avista,2025,12,99151,1
Avista,2025,1,99001,51
Avista,2025,9,99179,4
Avista,2025,12,99125,4
Avista,2025,9,99216,247
Avista,2025,4,99204,118
Avista,2025,7,99009,12
Avista,2025,10,99114,135
Avista,2025,1,99034,1
Avista,2025,2,99208,494
Avista,2025,9,99032,8
Avista,2025,3,99202,270
Avista,2025,3,99201,216
Avista,2025,8,99022,52
Avista,2025,5,99025,33
Avista,2025,2,99143,4
Avista,2025,7,99128,2
Avista,2025,12,99371,4
Avista,2025,12,99025,34
Avista,2025,4,99344,144
Avista,2025,7,99001,49
Avista,2025,9,99026,19
Avista,2025,9,99204,113
Avista,2025,2,99181,16
Avista,2025,11,99341,3
Avista,2025,2,99018,5
Avista,2025,8,99103,4
Avista,2025,4,99202,258
Avista,2025,11,99036,1
Avista,2025,8,99001,55
Avista,2025,8,99125,3
Avista,2025,9,99019,108
Avista,2025,10,99344,90
Avista,2025,1,99019,85
Avista,2025,9,99134,6
Avista,2025,11,99029,6
Avista,2025,10,99173,24
Avista,2025,4,99113,5
Avista,2025,6,99344,103
Avista,2025,9,99039,3
Avista,2025,3,99163,233
Avista,2025,4,99371,2
Avista,2025,11,99224,160
Avista,2025,6,99326,1
Avista,2025,4,99176,2
Avista,2025,7,99205,440
Avista,2025,12,99181,29
Avista,2025,9,99128,3
Avista,2025,3,99008,3
Avista,2025,12,99034,1
Avista,2025,10,99040,17
Avista,2025,12,99148,38
Avista,2025,12,99157,16
Avista,2025,8,99110,5
Avista,2025,8,99143,7
Avista,2025,8,99185,8
Avista,2025,7,99004,37
Avista,2025,8,99158,1
Avista,2025,4,99005,49
Avista,2025,7,99029,14
Avista,2025,2,99371,4
Avista,2025,8,99008,4
Avista,2025,10,99159,13
Avista,2025,4,99031,3
Avista,2025,12,99179,4
Avista,2025,9,99170,5
Avista,2025,8,99403,171
Avista,2025,11,99025,30
Avista,2025,3,99160,2
Avista,2025,4,99039,1
Avista,2025,4,99161,15
Avista,2025,6,99403,170
Avista,2025,8,99037,41
Avista,2025,2,99005,41
Avista,2025,7,99143,10
Avista,2025,6,99174,2
Avista,2025,2,99134,9
Avista,2025,1,99205,419
Avista,2025,12,99167,12
Avista,2025,12,99173,30
Avista,2025,7,98648,6
Avista,2025,7,99122,17
Avista,2025,2,99110,12
Avista,2025,1,99179,6
Avista,2025,8,99159,13
Avista,2025,7,99032,6
Avista,2025,6,99012,11
Avista,2025,6,99023,3
Avista,2025,6,99101,19
Avista,2025,2,99111,32
Avista,2025,1,99224,169
Avista,2025,6,99013,31
Avista,2025,12,99149,3
Avista,2025,1,99149,4
Avista,2025,10,99101,17
Avista,2025,10,99137,4
Avista,2025,9,99326,1
Avista,2025,6,99040,17
Avista,2025,7,99201,173
Avista,2025,7,99016,151
Avista,2025,7,99037,39
Avista,2025,9,99143,8
Avista,2025,4,99009,20
Avista,2025,3,99013,33
Avista,2025,6,98648,3
Avista,2025,9,99125,4
Avista,2025,3,99004,77
Avista,2025,8,99027,38
Avista,2025,7,99021,53
Avista,2025,2,99161,9
Avista,2025,5,99027,56
Avista,2025,12,99117,1
Avista,2025,4,99001,69
Avista,2025,10,99012,7
Avista,2025,5,99171,12
Avista,2025,9,99344,95
Avista,2025,10,99174,2
Avista,2025,9,99004,33
Avista,2025,9,99001,57
Avista,2025,2,99151,1
Avista,2025,4,99030,14
Avista,2025,11,99203,130
Avista,2025,11,99009,13
Avista,2025,4,99014,1
Avista,2025,2,99176,2
Avista,2025,2,99003,18
Avista,2025,1,99173,20
Avista,2025,3,99026,25
Avista,2025,3,99014,7
Avista,2025,4,99146,1
Avista,2025,2,99341,14
Avista,2025,6,99205,509
Avista,2025,3,99138,20
Avista,2025,10,99204,108
Avista,2025,12,99031,5
Avista,2025,4,99023,3
Avista,2025,12,99206,286
Avista,2025,8,99218,139
Avista,2025,12,99019,154
Avista,2025,10,99146,1
Avista,2025,1,99130,10
Avista,2025,2,98620,18
Avista,2025,12,99344,97
Avista,2025,1,99009,14
Avista,2025,10,99208,588
Avista,2025,12,99138,17
Avista,2025,1,99207,394
Avista,2025,10,99013,18
Avista,2025,1,99021,39
Avista,2025,10,99161,17
Avista,2025,4,99128,4
Avista,2025,9,99174,2
Avista,2025,2,99037,40
Avista,2025,3,99159,17
Avista,2025,1,99158,5
Avista,2025,3,99040,11
Avista,2025,3,99130,12
Avista,2025,12,99176,1
Avista,2025,11,99218,153
Avista,2025,3,99039,1
Avista,2025,5,99032,7
Avista,2025,8,99371,2
Avista,2025,5,98620,13
Avista,2025,7,99137,2
Avista,2025,7,98620,8
Avista,2025,5,99023,2
Avista,2025,5,99217,198
Avista,2025,7,99109,24
Avista,2025,12,99201,231
Avista,2025,5,99029,11
Avista,2025,12,99030,8
Avista,2025,6,99126,10
Avista,2025,9,99009,14
Avista,2025,5,99202,238
Avista,2025,8,99181,20
Avista,2025,1,99025,31
Avista,2025,1,98648,2
Avista,2025,2,99025,29
Avista,2025,12,99202,242
Avista,2025,10,99151,1
Avista,2025,10,99022,61
Avista,2025,6,99371,2
Avista,2025,3,99179,5
Avista,2025,7,99212,234
Avista,2025,2,99129,11
Avista,2025,4,99026,33
Avista,2025,5,99117,6
Avista,2025,3,99148,34
Avista,2025,8,99019,95
Avista,2025,8,99402,9
Avista,2025,5,99163,198
Avista,2025,11,99032,4
Avista,2025,8,99134,8
Avista,2025,3,99032,9
Avista,2025,3,99001,78
Avista,2025,9,99148,28
Avista,2025,2,99040,11
Avista,2025,12,98620,10
Avista,2025,3,99167,10
Avista,2025,3,99126,14
Avista,2025,12,99026,42
Avista,2025,10,99037,48
Avista,2025,7,99006,52
Avista,2025,2,98648,5
Avista,2025,9,99205,507
Avista,2025,10,99217,182
Avista,2025,6,99203,176
Avista,2025,2,99031,5
Avista,2025,4,99216,265
Avista,2025,7,99005,33
Avista,2025,5,99138,19
Avista,2025,2,99020,1
Avista,2025,9,99012,10
Avista,2025,8,99146,1
Avista,2025,3,99203,195
Avista,2025,5,99148,27
Avista,2025,5,99014,1
Avista,2025,9,99217,189
Avista,2025,12,99029,13
Avista,2025,5,99141,53
Avista,2025,10,99176,1
Avista,2025,11,99206,191
Avista,2025,2,99402,13
Avista,2025,5,99174,1
Avista,2025,9,99146,1
Avista,2025,7,99174,2
Avista,2025,4,98648,6
Avista,2025,2,99026,18
Avista,2025,4,99018,4
Avista,2025,2,99001,51
Avista,2025,10,99034,1
Avista,2025,10,99019,116
Avista,2025,4,99169,30
Avista,2025,2,99102,7
Avista,2025,10,99030,6
Avista,2025,9,99167,5
Avista,2025,11,99125,3
Avista,2025,6,99026,30
Avista,2025,3,99204,114
Avista,2025,10,99003,29
Avista,2025,10,99403,217
Avista,2025,2,99103,7
Avista,2025,5,99013,35
Avista,2025,10,99130,9
Avista,2025,4,99102,4
Avista,2025,1,99341,5
Avista,2025,10,99185,14
Avista,2025,8,99207,392
Avista,2025,5,99344,116
Avista,2025,9,99160,2
Avista,2025,2,99137,5
Avista,2025,12,99169,24
Avista,2025,2,99009,18
Avista,2025,7,99173,23
Avista,2025,11,99148,26
Avista,2025,9,99016,166
Avista,2025,7,99179,5
Avista,2025,5,99033,8
Avista,2025,10,99029,12
Avista,2025,11,99216,202
Avista,2025,3,99224,205
Avista,2025,8,99101,16
Avista,2025,9,99141,54
Avista,2025,9,99224,177
Avista,2025,5,99223,252
Avista,2025,9,99137,5
Avista,2025,10,99216,231
Avista,2025,5,99206,303
Avista,2025,2,99223,234
Avista,2025,12,99022,79
Avista,2025,7,99014,3
Avista,2025,9,99122,14
Avista,2025,11,99159,7
Avista,2025,4,98620,13
Avista,2025,6,99025,33
Avista,2025,10,99008,5
Avista,2025,2,99030,17
Avista,2025,8,99326,2
Avista,2025,1,99204,74
Avista,2025,4,99151,3
Avista,2025,7,99344,75
Avista,2025,8,99224,192
Avista,2025,2,99013,31
Avista,2025,6,99039,5
Avista,2025,2,99027,48
Avista,2025,9,98620,6
Avista,2025,12,99170,5
Avista,2025,4,99158,4
Avista,2025,10,99131,1
Avista,2025,3,99101,33
Avista,2025,7,99185,6
Avista,2025,3,99006,71
Avista,2025,3,99029,12
Avista,2025,5,99039,3
Avista,2025,7,99030,13
Avista,2025,12,99212,297
Avista,2025,11,99141,55
Avista,2025,3,99217,234
Avista,2025,5,99204,113
Avista,2025,6,99117,5
Avista,2025,4,99130,12
Avista,2025,2,99113,7
Avista,2025,6,99021,69
Avista,2025,8,99031,2
Avista,2025,8,99344,80
Avista,2025,4,99110,6
Avista,2025,1,99137,3
Avista,2025,10,99129,7
Avista,2025,6,99167,8
Avista,2025,8,99179,6
Avista,2025,8,99102,8
Avista,2025,2,99101,22
Avista,2025,3,99141,77
Avista,2025,6,99173,32
Avista,2025,4,99111,32
Avista,2025,12,99205,563
Avista,2025,11,99018,1
Avista,2025,10,99205,460
Avista,2025,2,99039,1
Avista,2025,12,99207,475
Avista,2025,5,99207,444
Avista,2025,8,99138,18
Avista,2025,9,99111,28
Avista,2025,4,99025,33
Avista,2025,1,99169,21
Avista,2025,5,99131,1
Avista,2025,2,99148,24
Avista,2025,8,99129,8
Avista,2025,9,99176,1
Avista,2025,4,99149,2
Avista,2025,10,99402,13
Avista,2025,6,99030,18
Avista,2025,7,99217,188
Avista,2025,3,99181,23
Avista,2025,3,99009,18
Avista,2025,4,99138,14
Avista,2025,11,99143,3
Avista,2025,9,99023,4
Avista,2025,2,99157,12
Avista,2025,3,99158,2
Avista,2025,3,99109,46
Avista,2025,6,99217,213
Avista,2025,9,99163,239
Avista,2025,12,99005,61
Avista,2025,7,99033,10
Avista,2025,9,99006,69
Avista,2025,7,99040,12
Avista,2025,5,99170,9
Avista,2025,4,99159,21
Avista,2025,11,99170,5
Avista,2025,7,99025,33
Avista,2025,6,99110,12
Avista,2025,3,99326,2
Avista,2025,4,99163,204
Avista,2025,6,99134,7
Avista,2025,2,99202,230
Avista,2025,1,99032,4
Avista,2025,6,99402,12
Avista,2025,10,99126,15
Avista,2025,4,99170,8
Avista,2025,12,99014,2
Avista,2025,3,99216,271
Avista,2025,5,99026,30
Avista,2025,12,99141,52
Avista,2025,7,99204,109
Avista,2025,7,99149,1
Avista,2025,5,99341,9
Avista,2025,6,99185,15
Avista,2025,9,99159,16
Avista,2025,3,99022,83
Avista,2025,11,99012,11
Avista,2025,4,99179,5
Avista,2025,7,99148,26
Avista,2025,11,99040,10
Avista,2025,5,99158,3
Avista,2025,8,99174,3
Avista,2025,2,99201,185
Avista,2025,7,99208,521
Avista,2025,1,99031,4
Avista,2025,1,99223,196
Avista,2025,5,99003,23
Avista,2025,7,99157,8
Avista,2025,12,99102,9
Avista,2025,4,99206,348
Avista,2025,4,99012,7
Avista,2025,6,99169,16
Avista,2025,5,99224,205
Avista,2025,7,99012,14
Avista,2025,8,98648,2
Avista,2025,4,99033,11
Avista,2025,9,99034,3
Avista,2025,4,99201,191
Avista,2025,11,99371,4
Avista,2025,9,99110,4
Avista,2025,6,99018,2
Avista,2025,2,99023,2
Avista,2025,4,99185,12
Avista,2025,1,99326,3
Avista,2025,4,99326,6
Avista,2025,11,99171,7
Avista,2025,9,99008,3
Avista,2025,5,99030,12
Avista,2025,4,99205,619
Avista,2025,9,99158,4
Avista,2025,11,99344,77
Avista,2025,6,99032,5
Avista,2025,12,99129,9
Avista,2025,3,99171,15
Avista,2025,10,99203,165
Avista,2025,4,99117,3
Avista,2025,12,99040,11
Avista,2025,1,99101,21
Avista,2025,8,99141,43
Avista,2025,5,99034,2
Avista,2025,10,99014,1
Avista,2025,3,99019,110
Avista,2025,1,99014,1
Avista,2025,8,99040,14
Avista,2025,5,99126,12
Avista,2025,3,99170,5
Avista,2025,10,99163,209
Avista,2025,7,99039,2
Avista,2025,7,99224,179
Avista,2025,3,99031,3
Avista,2025,8,99029,7
Avista,2025,12,99016,237
Avista,2025,10,99018,1
Avista,2025,2,99403,206
Avista,2025,1,99004,42
Avista,2025,6,99122,22
Avista,2025,2,99204,112
Avista,2025,2,99033,8
Avista,2025,8,99167,6
Avista,2025,8,99137,1
Avista,2025,2,99131,2
Avista,2025,11,99030,9
Avista,2025,5,99402,17
Avista,2025,12,99218,164
Avista,2025,1,99148,23
Avista,2025,10,99148,34
Avista,2025,10,99001,49
Avista,2025,11,99111,19
Avista,2025,6,99125,4
Avista,2025,8,99126,8
Avista,2025,12,99008,3
Avista,2025,7,99026,20
Avista,2025,11,99149,2
Avista,2025,2,99122,19
Avista,2025,11,99169,17
Avista,2025,10,99110,4
Avista,2025,12,99204,127
Avista,2025,12,99001,51
Avista,2025,9,99157,9
Avista,2025,1,99141,47
Avista,2025,10,99031,2
Avista,2025,10,99009,12
Avista,2025,9,98648,3
Avista,2025,9,99040,16
Avista,2025,8,99034,3
Avista,2025,7,99206,230
Avista,2025,6,99022,58
Avista,2025,8,98620,10
Avista,2025,10,99128,1
Avista,2025,8,99009,13
Avista,2025,1,99018,3
Avista,2025,1,99013,22
Avista,2025,1,99202,202
Avista,2025,2,99125,1
Avista,2025,6,99130,10
Avista,2025,10,99218,198
Avista,2025,7,99129,10
Avista,2025,3,99037,49
Avista,2025,4,99143,7
Avista,2025,11,99126,14
Avista,2025,4,99032,11
Avista,2025,10,99141,51
Avista,2025,9,99021,67
Avista,2025,7,99126,9
Avista,2025,7,99171,8
Avista,2025,3,99020,1
Avista,2025,12,99037,77
Avista,2025,1,99110,12
Avista,2025,10,99169,26
Avista,2025,7,99125,1
Avista,2025,1,99102,4
Avista,2025,7,99176,2
Avista,2025,7,99134,6
Avista,2025,9,99341,8
Avista,2025,9,99031,4
Avista,2025,8,99169,21
Avista,2025,4,99160,3
Avista,2025,5,99185,14
Avista,2025,8,99157,9
Avista,2025,12,99114,123
Avista,2025,2,99171,9
Avista,2025,4,99101,23
Avista,2025,12,99033,9
Avista,2025,3,99012,13
Avista,2025,9,99037,40
Avista,2025,10,99181,24
Avista,2025,3,99111,37
Avista,2025,5,99201,196
Avista,2025,6,99113,3
Avista,2025,11,99176,1
Avista,2025,10,99122,16
Avista,2025,3,99149,2
Avista,2025,11,99006,56
Avista,2025,8,99208,521
Avista,2025,12,99208,677
Avista,2025,1,99040,10
Avista,2025,2,99207,485
Avista,2025,4,99008,5
Avista,2025,3,99403,218
Avista,2025,10,99171,8
Avista,2025,5,99176,3
Avista,2025,1,99203,150
Avista,2025,6,99224,214
Avista,2025,9,99185,10
Avista,2025,9,99022,72
Avista,2025,10,99113,3
Avista,2025,11,99208,493
Avista,2025,7,99169,19
Avista,2025,12,99163,252
Avista,2025,11,99223,243
Avista,2025,10,99125,3
Avista,2025,5,99169,21
Avista,2025,4,99212,258
Avista,2025,12,99161,25
Avista,2025,6,99216,215
Avista,2025,6,99158,5
Avista,2025,10,99023,2
Avista,2025,6,99014,2
Avista,2025,8,99201,167
Avista,2025,8,99005,36
Avista,2025,12,99103,3
Avista,2025,7,99181,18
Avista,2025,12,99027,49
Avista,2025,1,99159,5
Avista,2025,3,99341,10
Avista,2025,4,99114,151
Avista,2025,10,99201,202
Avista,2025,9,99203,155
Avista,2025,2,99217,186
Avista,2025,5,99009,13
Avista,2025,4,99207,500
Avista,2025,2,99179,5
Avista,2025,11,99212,237
Avista,2025,7,99013,22
Avista,2025,2,99163,175
Avista,2025,11,99138,17
Avista,2025,11,99179,4
Avista,2025,11,98620,9
Avista,2025,4,99131,1
Avista,2025,7,99207,381
Avista,2025,3,99344,122
Avista,2025,11,99013,15
Avista,2025,8,99341,6
Avista,2025,8,99114,116
Avista,2025,11,99110,3
Avista,2025,10,99157,11
Avista,2025,11,99037,37
Avista,2025,4,99020,1
Avista,2025,10,99167,1
Avista,2025,2,99006,60
Avista,2025,11,99114,100
Avista,2025,1,99036,1
Avista,2025,7,99202,210
Avista,2025,12,99113,3
Avista,2025,5,99006,70
Avista,2025,5,99326,4
Avista,2025,5,99125,5
Avista,2025,11,99122,13
Avista,2025,1,99128,2
Avista,2025,9,99212,270
Avista,2025,6,99109,33
Avista,2025,6,99212,254
Avista,2025,11,99109,15
Avista,2025,11,99113,4
Avista,2025,1,99143,4
Avista,2025,6,99143,7
Avista,2025,3,99151,1
Avista,2025,2,99022,69
Avista,2025,11,99008,1
Avista,2025,11,99207,396
Avista,2025,3,99131,1
Avista,2025,11,99131,1
Avista,2025,5,99137,9
Avista,2025,9,99371,1
Avista,2025,3,99030,14
Avista,2025,10,99102,7
Avista,2025,5,99103,4
Avista,2025,11,99181,15
Avista,2025,1,99005,40
Avista,2025,10,99207,459
Avista,2025,5,99008,3
Avista,2025,7,99159,11
Avista,2025,7,99158,5
Avista,2025,12,99137,7
Avista,2025,9,99013,28
Avista,2025,8,99148,28
Avista,2025,8,99128,1
Avista,2025,9,99218,156
Avista,2025,12,99326,3
Avista,2025,10,99032,8
Avista,2025,11,99167,5
Avista,2025,9,99173,22
Avista,2025,7,99110,4
Avista,2025,5,99005,41
Avista,2025,11,99157,8
Avista,2025,12,99006,81
Avista,2025,9,99161,17
Avista,2025,3,99003,25
Avista,2025,8,99003,21
Avista,2025,6,99201,199
Avista,2025,6,99138,16
Avista,2025,6,99031,4
Avista,2025,7,99163,190
Avista,2025,8,99006,51
Avista,2025,3,99033,10
Avista,2025,12,99023,5
Avista,2025,10,99179,4
Avista,2025,1,99371,5
Avista,2025,9,99171,10
Avista,2025,12,99174,2
Avista,2025,2,99126,10
Avista,2025,9,99130,7
Avista,2025,12,99110,3
Avista,2025,12,99217,241
Avista,2025,2,99326,4
Avista,2025,12,99130,9
Avista,2025,6,99114,135
Avista,2025,1,99181,18
Avista,2025,9,99033,6
Avista,2025,4,99122,29
Avista,2025,5,99179,4
Avista,2025,9,99029,9
Avista,2025,11,99004,22
Avista,2025,8,99013,21
Avista,2025,10,99027,40
Avista,2025,8,99032,4
Avista,2025,11,99003,25
Avista,2025,3,99157,16
Avista,2025,3,99110,10
Avista,2025,2,99205,492
Avista,2025,2,99019,94
Avista,2025,10,99134,8
Avista,2025,4,99181,23
Avista,2025,2,99167,10
Avista,2025,9,99126,12
Avista,2025,3,99137,6
Avista,2025,4,99217,211
Avista,2025,7,99326,1
Avista,2025,5,99037,54
Avista,2025,8,99163,211
Avista,2025,7,99218,147
Avista,2025,4,99006,85
Avista,2025,1,99212,204
Avista,2025,9,99005,42
Avista,2025,9,99403,203
Avista,2025,10,99016,156
Avista,2025,4,99218,174
Avista,2025,11,99026,20
Avista,2025,6,99218,186
Avista,2025,9,99138,19
Avista,2025,11,99146,1
Avista,2025,1,99039,2
Avista,2025,9,99181,21
Avista,2025,11,99022,51
Avista,2025,1,99157,9
Avista,2025,2,99012,11
Avista,2025,3,98620,14
Avista,2025,10,99160,1
Avista,2025,4,99126,11
Avista,2025,9,99102,9
Avista,2025,8,99039,3
Avista,2025,12,99039,4
Avista,2025,1,99126,13
Avista,2025,11,99204,85
Avista,2025,8,99151,1
Avista,2025,3,99173,40
Avista,2025,1,99117,2
Avista,2025,11,99039,1
Avista,2025,9,99206,272
Avista,2025,8,99012,13
Avista,2025,5,99016,163
Avista,2025,11,99134,5
Avista,2025,6,99006,57
Avista,2025,1,99125,2
Avista,2025,5,99129,13
Avista,2025,11,99019,88
Avista,2025,7,99103,2
Avista,2025,11,99129,10
Avista,2025,2,99203,162
Avista,2025,11,99217,179
Avista,2025,1,99217,183
Avista,2025,2,99218,147
Avista,2025,10,98620,5
Avista,2025,3,99128,3
Avista,2025,6,99181,22
Avista,2025,12,99159,7
Avista,2025,10,99149,3
Avista,2025,5,99143,7
Avista,2025,1,99016,137
Avista,2025,10,99341,5
Avista,2025,7,99023,2
Avista,2025,7,99101,11
Avista,2025,1,99114,117
Avista,2025,11,99158,2
Avista,2025,6,99128,3
Avista,2025,5,99205,557
Avista,2025,10,99206,240
Avista,2025,6,99223,256
